Groupe d'aliments,Famille,Substance,Contribution_MB
Crustacés et mollusques,Contaminants inorganiques et minéraux,Potassium,0
Légumes (hors pomme de terre),Contaminants inorganiques et minéraux,Potassium,10
Pommes de terre et apparentés,Contaminants inorganiques et minéraux,Potassium,8
Légumes secs,Contaminants inorganiques et minéraux,Potassium,0
Fruits,Contaminants inorganiques et minéraux,Potassium,9
Fruits secs et graines oléagineuses,Contaminants inorganiques et minéraux,Potassium,1
Glaces et desserts glacés,Contaminants inorganiques et minéraux,Potassium,1
Chocolat,Contaminants inorganiques et minéraux,Potassium,1
Sucres et dérivés,Contaminants inorganiques et minéraux,Potassium,0
Eaux,Contaminants inorganiques et minéraux,Potassium,0
Boissons fraîches sans alcool,Contaminants inorganiques et minéraux,Potassium,3
Boissons alcoolisées,Contaminants inorganiques et minéraux,Potassium,4
Café,Contaminants inorganiques et minéraux,Potassium,9
Autres boissons chaudes,Contaminants inorganiques et minéraux,Potassium,1
"Pizzas, quiches et pâtisseries salées",Contaminants inorganiques et minéraux,Potassium,1
"Sandwiches, casse-croûte",Contaminants inorganiques et minéraux,Potassium,1
Soupes et bouillons,Contaminants inorganiques et minéraux,Potassium,4
Plats composés,Contaminants inorganiques et minéraux,Potassium,3
"Entremets, crèmes desserts et laits gélifiés",Contaminants inorganiques et minéraux,Potassium,2
Compotes et fruits cuits,Contaminants inorganiques et minéraux,Potassium,1
Condiments et sauces,Contaminants inorganiques et minéraux,Potassium,1
Aliments particuliers,Contaminants inorganiques et minéraux,Potassium,0
Pain et panification sèche,Contaminants inorganiques et minéraux,Fer,16
Céréales pour petit déjeuner,Contaminants inorganiques et minéraux,Fer,1
Pâtes,Contaminants inorganiques et minéraux,Fer,3
Riz et blé dur ou concassé,Contaminants inorganiques et minéraux,Fer,1
Viennoiserie,Contaminants inorganiques et minéraux,Fer,2
Biscuits sucrés ou salés et barres,Contaminants inorganiques et minéraux,Fer,2
Pâtisseries et gâteaux,Contaminants inorganiques et minéraux,Fer,4
Lait,Contaminants inorganiques et minéraux,Fer,0
Ultra-frais laitier,Contaminants inorganiques et minéraux,Fer,1
Fromages,Contaminants inorganiques et minéraux,Fer,0
Oeufs et dérivés,Contaminants inorganiques et minéraux,Fer,3
Beurre,Contaminants inorganiques et minéraux,Fer,0
Huile,Contaminants inorganiques et minéraux,Fer,0
Margarine,Contaminants inorganiques et minéraux,Fer,0
Viande,Contaminants inorganiques et minéraux,Fer,10
Volaille et gibier,Contaminants inorganiques et minéraux,Fer,3
Abats,Contaminants inorganiques et minéraux,Fer,1
Charcuterie,Contaminants inorganiques et minéraux,Fer,5
Poissons,Contaminants inorganiques et minéraux,Fer,1
Crustacés et mollusques,Contaminants inorganiques et minéraux,Fer,1
Légumes (hors pomme de terre),Contaminants inorganiques et minéraux,Fer,7
Pommes de terre et apparentés,Contaminants inorganiques et minéraux,Fer,3
Légumes secs,Contaminants inorganiques et minéraux,Fer,1
Fruits,Contaminants inorganiques et minéraux,Fer,2
Fruits secs et graines oléagineuses,Contaminants inorganiques et minéraux,Fer,1
Glaces et desserts glacés,Contaminants inorganiques et minéraux,Fer,4
Chocolat,Contaminants inorganiques et minéraux,Fer,5
Sucres et dérivés,Contaminants inorganiques et minéraux,Fer,0
Eaux,Contaminants inorganiques et minéraux,Fer,0
Boissons fraîches sans alcool,Contaminants inorganiques et minéraux,Fer,1
Boissons alcoolisées,Contaminants inorganiques et minéraux,Fer,4
Café,Contaminants inorganiques et minéraux,Fer,1
Autres boissons chaudes,Contaminants inorganiques et minéraux,Fer,1
"Pizzas, quiches et pâtisseries salées",Contaminants inorganiques et minéraux,Fer,2
"Sandwiches, casse-croûte",Contaminants inorganiques et minéraux,Fer,2
Soupes et bouillons,Contaminants inorganiques et minéraux,Fer,2
Plats composés,Contaminants inorganiques et minéraux,Fer,5
"Entremets, crèmes desserts et laits gélifiés",Contaminants inorganiques et minéraux,Fer,3
Compotes et fruits cuits,Contaminants inorganiques et minéraux,Fer,0
Condiments et sauces,Contaminants inorganiques et minéraux,Fer,1
Aliments particuliers,Contaminants inorganiques et minéraux,Fer,0
