Groupe,Type,Unité,Famille de substances,Aluminium,Antimoine,Argent,Arsenic,Baryum,Cadmium,Calcium,Chromium,Cobalt,Cuivre,Etain,Fer,Gallium,Germanium,Lithium,Magnésium,Manganese,Mercure,Molybdène,Nickel,Plomb,Potassium,Selenium,Sodium,Strontium,Tellure,Vanadium,Zinc
Chocolat,N,µg/g,Contaminants inorg et minéraux,15.587,0.004219,0.07263,0.04931,2.1931,0.0285899999999999,1200.2,0.867699999999999,0.1391,6.42899999999999,0.0137949999999999,70.25,0.00103,0.005467,0.00752199999999999,1142.7,8.865,0.01594,0.16523,1.3515,0.023358,5667.0,0.0,837.329999999999,3.17,0.00306899999999999,0.08019,11.956
Compotes et fruits cuits,N,µg/g,Contaminants inorg et minéraux,1.41925,0.00111625,0.104,0.0074875,0.235549999999999,0.005965,365.8,0.1200125,0.0037775,0.5095,8.5493625,1.26625,0.00025,0.00075,0.0032225,70.9125,1.212,0.00125,0.04585,0.071,0.01289,1247.0,0.0125,16.7625,0.421625,0.00100625,0.0108625,0.509875
Condiments et sauces,N,µg/g,Contaminants inorg et minéraux,2.06233333333333,0.000741583333333333,0.014,0.0671166666666666,0.36775,0.0168433333333333,232.833333333333,0.345541666666666,0.010945,0.614341666666666,0.649133333333333,7.83916666666666,0.0,0.00108,0.0166416666666666,312.858333333333,1.48814166666666,0.001125,0.0726,0.22165,0.0136858333333333,3499.91666666666,0.00833333333333333,21027.5,1.91224166666666,0.0009925,0.0971666666666666,2.9865
Crustacés et mollusques,R,µg/g,Contaminants inorg et minéraux,21.2821041666666,0.00217334375,7.40916354166666,2.53783854166666,0.251633333333333,0.164046354166666,1077.62604166666,0.261196875,0.0399646354166666,5.65298541666666,0.0186734375,25.8233333333333,0.0005165,0.00382777083333333,0.0690778125,813.15,5.03483125,0.0150410416666666,0.366552083333333,0.1513540625,0.115128072916666,2359.57291666666,0.247835416666666,4847.15625,10.3606979166666,0.00207053125,0.2266734375,64.3981770833333
Céréales pour petit déjeuner,N,µg/g,Contaminants inorg et minéraux,0.779666666666666,0.000775,0.0,0.0117666666666666,2.847,0.00529166666666666,1178.83333333333,0.280633333333333,0.01407,0.7205,0.00463833333333333,15.4833333333333,0.0,0.00237,0.00598833333333333,287.333333333333,3.17666666666666,0.0,0.109849999999999,0.18235,0.00622166666666666,2260.0,0.0,1104.16666666666,0.842166666666666,0.00134499999999999,0.01,4.54666666666666
Eaux,N,µg/g,Contaminants inorg et minéraux,0.250785714285714,0.0004975,0.012,0.0144785714285714,0.0486571428571428,0.000739928571428571,229.95,0.0145,0.00135071428571428,0.0178071428571428,0.00107142857142857,0.0184285714285714,0.0,0.00322571428571428,0.0843614285714285,71.2757142857142,0.00378571428571428,0.000714285714285714,0.00157142857142857,0.0113571428571428,0.00178571428571428,1.98499999999999,0.0,31.75,2.44512857142857,0.00115857142857142,0.0333214285714285,0.0763571428571428
Eaux,R,µg/g,Contaminants inorg et minéraux,0.18428125,0.00015625,0.02209375,0.00365624999999999,0.0541562499999999,0.000366875,120.899999999999,0.01455625,0.000761875,0.124746875,0.002333125,0.065625,0.0,0.001123125,0.0132543749999999,13.88375,0.007353125,0.0,0.00240624999999999,0.018659375,0.002376875,7.47843749999999,0.0,23.54375,0.528890625,0.000125,0.00954375,0.11059375
"Entremets, crèmes desserts et laits gélifiés",N,µg/g,Contaminants inorg et minéraux,3.71057142857142,0.00318714285714285,0.0334285714285714,0.0275428571428571,0.3835,0.00674714285714285,949.357142857142,0.312185714285714,0.027525,1.11771428571428,0.00691357142857142,15.2385714285714,0.0,0.00358142857142857,0.00797,293.357142857142,1.84133571428571,0.00237857142857142,0.0640571428571428,0.3241,0.00796571428571428,1946.28571428571,0.0,580.785714285714,0.778214285714285,0.00128928571428571,0.0323428571428571,3.18842857142857
"Entremets, crèmes desserts et laits gélifiés",R,µg/g,Contaminants inorg et minéraux,0.658,0.00267791666666666,0.0279583333333333,0.0152791666666666,0.191816666666666,0.0275716666666666,669.666666666666,0.1393375,0.00458916666666666,0.458291666666666,2.37658416666666,4.58958333333333,0.0,0.0018675,0.00459666666666666,139.524999999999,0.677666666666666,0.000416666666666666,0.0509333333333333,0.0647416666666666,0.00573333333333333,1661.66666666666,0.0,938.458333333333,0.512916666666666,0.00075375,0.0242,4.53583333333333
Fromages,N,µg/g,Contaminants inorg et minéraux,0.524125,0.001154375,0.0615624999999999,0.02945625,0.450374999999999,0.002535625,5653.75,0.4035,0.01661375,0.4944375,2.184665,1.152125,0.00043125,0.00125,0.003895625,303.5,0.184125,0.00125,0.0756875,0.2204375,0.008670625,1196.0,0.00625,7489.375,1.89125,0.00524749999999999,0.05555,20.513125
