Groupe d'aliments,Famille,Substance,Contribution_LB,Contribution_UB
Riz et blé dur ou concassé,Contaminants inorganiques et minéraux,Tellure,1,1
Viennoiserie,Contaminants inorganiques et minéraux,Tellure,0,0
Biscuits sucrés ou salés et barres,Contaminants inorganiques et minéraux,Tellure,1,0
Pâtisseries et gâteaux,Contaminants inorganiques et minéraux,Tellure,1,1
Lait,Contaminants inorganiques et minéraux,Tellure,3,3
Ultra-frais laitier,Contaminants inorganiques et minéraux,Tellure,2,3
Fromages,Contaminants inorganiques et minéraux,Tellure,6,3
Oeufs et dérivés,Contaminants inorganiques et minéraux,Tellure,1,1
Beurre,Contaminants inorganiques et minéraux,Tellure,30,13
Huile,Contaminants inorganiques et minéraux,Tellure,1,0
Margarine,Contaminants inorganiques et minéraux,Tellure,0,0
Viande,Contaminants inorganiques et minéraux,Tellure,4,3
Volaille et gibier,Contaminants inorganiques et minéraux,Tellure,2,1
Abats,Contaminants inorganiques et minéraux,Tellure,0,0
Charcuterie,Contaminants inorganiques et minéraux,Tellure,4,2
Poissons,Contaminants inorganiques et minéraux,Tellure,0,0
Crustacés et mollusques,Contaminants inorganiques et minéraux,Tellure,0,0
Légumes (hors pomme de terre),Contaminants inorganiques et minéraux,Tellure,3,4
Pommes de terre et apparentés,Contaminants inorganiques et minéraux,Tellure,1,2
Légumes secs,Contaminants inorganiques et minéraux,Tellure,1,0
Fruits,Contaminants inorganiques et minéraux,Tellure,2,4
Fruits secs et graines oléagineuses,Contaminants inorganiques et minéraux,Tellure,0,0
Glaces et desserts glacés,Contaminants inorganiques et minéraux,Tellure,0,0
Chocolat,Contaminants inorganiques et minéraux,Tellure,1,0
Sucres et dérivés,Contaminants inorganiques et minéraux,Tellure,1,1
Eaux,Contaminants inorganiques et minéraux,Tellure,9,21
Boissons fraîches sans alcool,Contaminants inorganiques et minéraux,Tellure,3,4
Boissons alcoolisées,Contaminants inorganiques et minéraux,Tellure,4,5
Café,Contaminants inorganiques et minéraux,Tellure,5,8
Autres boissons chaudes,Contaminants inorganiques et minéraux,Tellure,1,4
"Pizzas, quiches et pâtisseries salées",Contaminants inorganiques et minéraux,Tellure,0,0
"Sandwiches, casse-croûte",Contaminants inorganiques et minéraux,Tellure,0,0
Soupes et bouillons,Contaminants inorganiques et minéraux,Tellure,1,2
Plats composés,Contaminants inorganiques et minéraux,Tellure,2,2
"Entremets, crèmes desserts et laits gélifiés",Contaminants inorganiques et minéraux,Tellure,1,1
Compotes et fruits cuits,Contaminants inorganiques et minéraux,Tellure,1,1
Condiments et sauces,Contaminants inorganiques et minéraux,Tellure,1,1
Aliments particuliers,Contaminants inorganiques et minéraux,Tellure,0,0
