Famille de substances,Groupe,Aliment,Type,Unité,Nom Substance,Substance,LB,UB,MB
Contaminants inorg et minéraux,Autres boissons chaudes,boisson au chocolat,R,µg/g,Cuivre,Cu,1.055875,1.055875,1.055875
Contaminants inorg et minéraux,Autres boissons chaudes,boisson au chocolat,R,µg/g,Fer,Fe,8.68625,8.68625,8.68625
Contaminants inorg et minéraux,Autres boissons chaudes,boisson au chocolat,R,µg/g,Gallium,Ga,0.0,0.001,0.0005
Contaminants inorg et minéraux,Autres boissons chaudes,boisson au chocolat,R,µg/g,Germanium,Ge,0.00139625,0.0022400000000000002,0.001349375
Contaminants inorg et minéraux,Autres boissons chaudes,boisson au chocolat,R,µg/g,Mercure,Hg,0.000625,0.0053125,0.00265625
Contaminants inorg et minéraux,Autres boissons chaudes,boisson au chocolat,R,µg/g,Potassium,K,2393.125,2393.125,2393.125
Contaminants inorg et minéraux,Autres boissons chaudes,boisson au chocolat,R,µg/g,Lithium,Li,0.0033075,0.0033075,0.0033075
Contaminants inorg et minéraux,Autres boissons chaudes,boisson au chocolat,R,µg/g,Magnésium,Mg,275.1875,275.1875,275.1875
Contaminants inorg et minéraux,Autres boissons chaudes,boisson au chocolat,R,µg/g,Manganese,Mn,0.995,0.995,0.995
Contaminants inorg et minéraux,Autres boissons chaudes,boisson au chocolat,R,µg/g,Molybdène,Mo,0.05145625,0.05145625,0.05145625
Contaminants inorg et minéraux,Autres boissons chaudes,boisson au chocolat,R,µg/g,Sodium,Na,461.5,461.5,461.5
Contaminants inorg et minéraux,Autres boissons chaudes,boisson au chocolat,R,µg/g,Nickel,Ni,0.2814375,0.2814375,0.2814375
Contaminants inorg et minéraux,Autres boissons chaudes,boisson au chocolat,R,µg/g,Plomb,Pb,0.00821,0.008835,0.0078975
Contaminants inorg et minéraux,Autres boissons chaudes,boisson au chocolat,R,µg/g,Antimoine,Sb,0.001093125,0.001093125,0.000749375
Contaminants inorg et minéraux,Autres boissons chaudes,boisson au chocolat,R,µg/g,Selenium,Se,0.0,0.05,0.025
Contaminants inorg et minéraux,Autres boissons chaudes,boisson au chocolat,R,µg/g,Etain,Sn,0.015876249999999998,0.016063749999999998,0.01550125
Contaminants inorg et minéraux,Autres boissons chaudes,boisson au chocolat,R,µg/g,Strontium,Sr,0.6980625,0.6980625,0.6980625
Contaminants inorg et minéraux,Autres boissons chaudes,boisson au chocolat,R,µg/g,Tellure,Te,0.0013700000000000001,0.0018700000000000001,0.0013075
Contaminants inorg et minéraux,Autres boissons chaudes,boisson au chocolat,R,µg/g,Vanadium,V,0.02358125,0.024831250000000003,0.01983125
Contaminants inorg et minéraux,Autres boissons chaudes,boisson au chocolat,R,µg/g,Zinc,Zn,4.98125,4.98125,4.98125
Contaminants inorg et minéraux,Autres boissons chaudes,thé ou tisane,R,µg/g,Argent,Ag,0.03546666666666667,0.06066666666666667,0.03406666666666667
Contaminants inorg et minéraux,Autres boissons chaudes,thé ou tisane,R,µg/g,Aluminium,Al,2.393733333333333,2.393733333333333,2.393733333333333
Contaminants inorg et minéraux,Autres boissons chaudes,thé ou tisane,R,µg/g,Arsenic,As,0.0077933333333333335,0.00946,0.006626666666666667
Contaminants inorg et minéraux,Autres boissons chaudes,thé ou tisane,R,µg/g,Baryum,Ba,0.07938666666666666,0.08538666666666667,0.04938666666666667
Contaminants inorg et minéraux,Autres boissons chaudes,thé ou tisane,R,µg/g,Calcium,Ca,236.54666666666665,236.54666666666665,235.69
Contaminants inorg et minéraux,Autres boissons chaudes,thé ou tisane,R,µg/g,Cadmium,Cd,0.0005332666666666668,0.0007666,0.0004166
Contaminants inorg et minéraux,Autres boissons chaudes,thé ou tisane,R,µg/g,Cobalt,Co,0.0019913333333333332,0.002058,0.0012246666666666667
Contaminants inorg et minéraux,Autres boissons chaudes,thé ou tisane,R,µg/g,Chromium,Cr,0.023993333333333332,0.025993333333333334,0.020993333333333333
Contaminants inorg et minéraux,Autres boissons chaudes,thé ou tisane,R,µg/g,Cuivre,Cu,0.43868666666666667,0.43868666666666667,0.43868666666666667
Contaminants inorg et minéraux,Autres boissons chaudes,thé ou tisane,R,µg/g,Fer,Fe,0.1947333333333333,0.21193333333333333,0.19473333333333334
Contaminants inorg et minéraux,Autres boissons chaudes,thé ou tisane,R,µg/g,Gallium,Ga,0.0,0.001,0.0005
Contaminants inorg et minéraux,Autres boissons chaudes,thé ou tisane,R,µg/g,Germanium,Ge,0.0011006666666666667,0.002100666666666667,0.0013006666666666666
